# MEAN_SAMPLE_SIZE = 321
GENE_SET       NGENES           MU            P
R-HSA-379716        2      0.26681      0.35297
R-HSA-71240         3       1.1728     0.021108
R-HSA-9823739       2      0.43558      0.26894
R-HSA-9832991       2      0.43558      0.26894
R-HSA-390522        4      0.23258      0.32091
R-HSA-6807004       4      0.45346      0.18222
R-HSA-8875360       3      0.27609      0.31626
R-HSA-1566948       5      0.49016      0.13653
R-HSA-210993        5     -0.89993      0.97791
R-HSA-5610787       8        0.384      0.13915
R-HSA-5576892      10       0.5197     0.051216
R-HSA-9037629       5       1.2666    0.0023106
R-HSA-1660661       8      0.42343      0.11553
R-HSA-159418        6      0.64963     0.055775
R-HSA-193368        6      0.74411     0.034175
R-HSA-3000170       5      0.40156      0.18462
R-HSA-446107        2       1.6029     0.011698
R-HSA-9725554       5       0.9192      0.01992
R-HSA-418457        8    -0.053424      0.56001
R-HSA-8866652       5      0.22548      0.30707
R-HSA-111957        2      0.22915      0.37294
R-HSA-445144        5       1.6524   0.00011003
R-HSA-9860927       6       1.4052   0.00028861
R-HSA-111465        4      0.67477     0.088583
R-HSA-168638        2      0.69157      0.16403
R-HSA-5213460       2      0.18787      0.39524
R-HSA-5357786       2     -0.39261      0.71063
R-HSA-5357905       2     -0.39261      0.71063
R-HSA-5675482       3      0.31634      0.29188
R-HSA-75153         2       1.3329      0.02971
R-HSA-933543        2     -0.63965      0.81716
R-HSA-9013419       2     -0.41439      0.72107
R-HSA-9013425       2     -0.41439      0.72107
R-HSA-1227986       4      0.91922     0.032999
R-HSA-1236394       7        1.116    0.0015756
R-HSA-1250196       6       0.2125      0.30135
R-HSA-1250342       2      0.28224      0.34489
R-HSA-1250347       3     -0.14994      0.60245
R-HSA-1963640       4      0.37274      0.22799
R-HSA-1963642       3      0.83508     0.074032
R-HSA-6785631       4      0.55979      0.13145
R-HSA-8847993       3      0.83508     0.074032
R-HSA-8863795       3      0.83508     0.074032
R-HSA-9620244      10      0.54412     0.042656
R-HSA-9664565       4      0.37274      0.22799
R-HSA-9665686       4      0.37274      0.22799
R-HSA-1855204       3      0.82673     0.078103
R-HSA-3928663       8      -0.3522      0.84042
