# MEAN_SAMPLE_SIZE = 321
# TOTAL_GENES = 3123
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
R-HSA-418555        SET      19     -0.11492   -0.0089377        0.267      0.66653
R-HSA-418592        SET       7      0.27062       0.0128      0.43919      0.26891
R-HSA-418594        SET      24       0.1748     0.015267       0.2381      0.23146
R-HSA-418597        SET      13      0.10598    0.0068243      0.32272      0.37132
R-HSA-420092        SET       6      0.41896     0.018349      0.47396       0.1884
R-HSA-428930        SET       7      0.47603     0.022515      0.43919      0.13925
R-HSA-432040        SET       6    -0.066219   -0.0029002      0.47329      0.55563
R-HSA-456926        SET       9      0.16445     0.008817      0.35214      0.32027
R-HSA-6814122       SET       9      0.75826     0.040653      0.38712     0.025119
R-HSA-8964315       SET       4      0.58067     0.020771      0.57917      0.15807
R-HSA-8964616       SET       5      0.25751     0.010297      0.51875      0.30982
R-HSA-9009391       SET      10       1.1709      0.06616      0.36728   0.00072376
R-HSA-9634597       SET       7      0.31119     0.014719       0.4385      0.23898
R-HSA-9660821       SET       8     0.066189    0.0033462      0.41054      0.43596
R-HSA-997272        SET       7      0.60309     0.028525      0.43874     0.084679
R-HSA-391908        SET       2      0.87194     0.022062      0.82342      0.14486
R-HSA-1483191       SET       9      0.51887     0.027818      0.38834     0.090807
R-HSA-425366        SET       5     -0.18925   -0.0075675      0.52046      0.64192
R-HSA-4085001       SET       6    0.0086655   0.00037952      0.44832      0.49229
R-HSA-9683673       SET       3     -0.75019    -0.023244      0.60235      0.89347
R-HSA-9694719       SET       3     -0.75019    -0.023244      0.60235      0.89347
R-HSA-977068        SET       3     -0.25221   -0.0078145       0.6025      0.66223
R-HSA-9840309       SET       3     -0.28621    -0.008868      0.67224      0.66484
R-HSA-162791        SET       2     -0.33335   -0.0084345      0.82369      0.65714
R-HSA-3214847       SET       7      0.25134     0.011888        0.416      0.27288
R-HSA-9772755       SET       8     -0.20849     -0.01054      0.41082      0.69408
R-HSA-9010553       SET      15     -0.18443    -0.012753      0.28346      0.74234
R-HSA-1483166       SET       8      0.24025     0.012146      0.42976      0.28809
R-HSA-3295583       SET       6      0.17303    0.0075783      0.47531      0.35792
R-HSA-2022090       SET      17     0.038361     0.002823      0.27854      0.44524
R-HSA-8874081       SET      10       -0.474    -0.026784      0.36586      0.90239
R-HSA-8948216       SET      15     -0.19604    -0.013556      0.30095      0.74258
R-HSA-73621         SET       4      0.34118     0.012205      0.58271      0.27912
R-HSA-1442490       SET      14     0.019981     0.001335      0.31121      0.47441
R-HSA-432722        SET      13      0.17651     0.011366       0.3224      0.29204
R-HSA-1483213       SET       3      0.25069    0.0077674       0.6723      0.35463
R-HSA-189085        SET       2     -0.48864    -0.012364       0.8217      0.72395
R-HSA-191859        SET       7      -0.8911    -0.042147      0.46561      0.97213
R-HSA-9754678       SET       2      0.38613    0.0097699      0.81037      0.31688
R-HSA-5576894       SET       3      0.64736     0.020058      0.67127      0.16747
R-HSA-1221632       SET       5      0.17203    0.0068789      0.51367      0.36886
R-HSA-8980692       SET      36      0.23072     0.024632      0.19266      0.11559
R-HSA-9013026       SET      21       0.2208     0.018048      0.24998      0.18858
R-HSA-9013106       SET      23      0.35278     0.030168      0.23915     0.070136
R-HSA-9013404       SET      18    -0.032853   -0.0024873      0.26925      0.54855
R-HSA-9013406       SET      15     0.033945    0.0023472      0.30345      0.45547
R-HSA-9013408       SET      17    -0.016238   -0.0011949      0.27077      0.52391
R-HSA-9013409       SET      13     -0.10673   -0.0068729      0.32634      0.62817
R-HSA-9013420       SET      15      0.24777     0.017133      0.30055       0.2049
R-HSA-9013423       SET      19     -0.11446    -0.008902      0.26215      0.66879
R-HSA-9013424       SET      10     0.079476    0.0044908      0.36777      0.41446
R-HSA-9696264       SET       8       0.7085     0.035819      0.38505     0.032929
R-HSA-9696270       SET       7      0.67941     0.032135        0.439      0.06091
R-HSA-9696273       SET       6    -0.064509   -0.0028253      0.47408      0.55411
R-HSA-549127        SET       2      0.45245     0.011448      0.82358      0.29139
R-HSA-977347        SET       2     -0.38584   -0.0097626      0.82106      0.68078
R-HSA-1912399       SET       2      -1.1881    -0.030062      0.82095      0.92604
R-HSA-1912420       SET       5      0.15157    0.0060608      0.48553      0.37747
R-HSA-2197563       SET       2      0.10743    0.0027183      0.82232      0.44803
R-HSA-2979096       SET       6      0.18539    0.0081197      0.50728      0.35739
R-HSA-350054        SET       5      0.03821    0.0015279      0.52027      0.47073
R-HSA-5083630       SET       2      -1.1881    -0.030062      0.82095      0.92604
R-HSA-9013695       SET       5     -0.11252   -0.0044995      0.52038      0.58559
R-HSA-5696395       SET       8      0.21548     0.010894      0.35373      0.27123
R-HSA-5696400       SET       8     0.064549    0.0032633      0.35375      0.42761
R-HSA-1679131       SET       3      0.22085    0.0068428      0.63104      0.36319
R-HSA-383280        SET      13     0.061048    0.0039312      0.31964      0.42427
R-HSA-9616222       SET       5     -0.53629    -0.021445      0.51231      0.85236
R-HSA-629594        SET       3     -0.11494   -0.0035614      0.67244      0.56786
R-HSA-629597        SET       2      -0.1622    -0.004104      0.82317       0.5781
R-HSA-8941237       SET       3    -0.013484  -0.00041778      0.67085      0.50802
R-HSA-193648        SET      16   -0.0072928  -0.00052074      0.29042      0.51002
R-HSA-2995383       SET       2   -0.0078106  -0.00019763      0.81955       0.5038
R-HSA-381038        SET       5     -0.19455   -0.0077794      0.56454      0.63479
R-HSA-4419969       SET       5     -0.36993    -0.014792      0.52077      0.76123
R-HSA-6802952       SET      18      0.53157     0.040246      0.25457     0.018436
R-HSA-70895         SET       3     -0.41625    -0.012897      0.66964      0.73288
R-HSA-5626467       SET       6    -0.098351   -0.0043075      0.47262      0.58242
R-HSA-373753        SET       9      0.26597      0.01426      0.37408      0.23857
R-HSA-375165        SET       7     -0.17379   -0.0082202      0.43941      0.65376
R-HSA-445095        SET       8      -0.2891    -0.014616      0.40614      0.76169
R-HSA-1251985       SET       6      -0.2716    -0.011895      0.50635      0.70414
R-HSA-2122948       SET       8       0.8151     0.041208      0.43199     0.029639
R-HSA-2644606       SET       7      0.72802     0.034434      0.46521      0.05885
R-HSA-2894862       SET       7      0.72802     0.034434      0.46521      0.05885
R-HSA-9013507       SET       5      0.87209     0.034872      0.56387     0.061032
R-HSA-9013700       SET       3    -0.031248  -0.00096819      0.77448      0.51609
R-HSA-9839383       SET       2       -1.179    -0.029831       1.0407      0.87131
R-HSA-611105        SET       5     0.098232     0.003928      0.48012      0.41895
R-HSA-71403         SET       4      -1.0552    -0.037745      0.57995      0.96553
R-HSA-9854311       SET       2      -0.3799   -0.0096124      0.82351       0.6777
R-HSA-191273        SET       2     -0.64127    -0.016226      0.82042      0.78276
R-HSA-452723        SET       3      0.27283    0.0084532       0.6699      0.34192
R-HSA-9013508       SET       3     -0.32575    -0.010093      0.67262      0.68589
R-HSA-8951664       SET      22      0.69069     0.057775      0.24111     0.002102
R-HSA-5578775       SET      14      0.54878     0.036666       0.2717     0.021747
R-HSA-936837        SET      18      0.36873     0.027918      0.24632     0.067253
R-HSA-198933        SET      11     -0.92947    -0.055074       0.3623      0.99482
R-HSA-202733        SET      12     -0.36669     -0.02269       0.3345      0.86347
R-HSA-5693568       SET       4     -0.10754   -0.0038468      0.57423      0.57427
R-HSA-912446        SET       5      0.29145     0.011654      0.41339      0.24043
R-HSA-1445148       SET       9      0.35448     0.019005      0.38577      0.17911
R-HSA-5620924       SET       5       0.9263      0.03704      0.68952     0.089621
